gameid,url,league,year,date,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,total cs
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,3,Blue,mid,Alex Ich,Gambit Gaming,Kha'Zix,Kayle,Annie,Elise,,,1837,1,11,3,8,284
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,4,Blue,bot,Genja,Gambit Gaming,Jinx,Kayle,Annie,Elise,,,1837,1,4,0,12,276
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,5,Blue,sup,Edward,Gambit Gaming,Kennen,Kayle,Annie,Elise,,,1837,1,3,1,9,66
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,6,Red,top,YoungBuck,Copenhagen Wolves,Shyvana,Dr. Mundo,Yasuo,Kassadin,,,1837,0,1,4,2,215
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,7,Red,jng,Amazing,Copenhagen Wolves,Olaf,Dr. Mundo,Yasuo,Kassadin,,,1837,0,0,3,4,135
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,8,Red,mid,cowTard,Copenhagen Wolves,Zyra,Dr. Mundo,Yasuo,Kassadin,,,1837,0,2,9,2,199
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,9,Red,bot,FORG1VEN,Copenhagen Wolves,Lucian,Dr. Mundo,Yasuo,Kassadin,,,1837,0,2,5,0,224
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,10,Red,sup,Unlimited,Copenhagen Wolves,Lulu,Dr. Mundo,Yasuo,Kassadin,,,1837,0,1,4,2,16
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,100,Blue,team,,Gambit Gaming,,Kayle,Annie,Elise,,,1837,1,25,6,52,
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,200,Red,team,,Copenhagen Wolves,,Dr. Mundo,Yasuo,Kassadin,,,1837,0,6,25,10,
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,1,Blue,top,fredy122,SK Gaming,Shyvana,Gragas,Yasuo,Riven,,,3043,0,2,6,6,268
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,2,Blue,jng,Svenskeren,SK Gaming,Lee Sin,Gragas,Yasuo,Riven,,,3043,0,0,8,3,134
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,3,Blue,mid,Jesiz,SK Gaming,Ziggs,Gragas,Yasuo,Riven,,,3043,0,4,5,4,507
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,4,Blue,bot,CandyPanda,SK Gaming,Lucian,Gragas,Yasuo,Riven,,,3043,0,4,4,3,342
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,5,Blue,sup,nRated,SK Gaming,Leona,Gragas,Yasuo,Riven,,,3043,0,0,4,7,18
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,6,Red,top,Kev1n,Millenium,Renekton,Evelynn,Elise,Dr. Mundo,,,3043,1,4,1,12,399
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,7,Red,jng,Araneae,Millenium,Vi,Evelynn,Elise,Dr. Mundo,,,3043,1,2,3,12,144
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,8,Red,mid,Kerp,Millenium,LeBlanc,Evelynn,Elise,Dr. Mundo,,,3043,1,9,3,10,261
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,9,Red,bot,Creaton,Millenium,Ezreal,Evelynn,Elise,Dr. Mundo,,,3043,1,10,0,7,457
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,10,Red,sup,Jree,Millenium,Annie,Evelynn,Elise,Dr. Mundo,,,3043,1,2,3,13,30
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,100,Blue,team,,SK Gaming,,Gragas,Yasuo,Riven,,,3043,0,10,27,23,
TRLH3/10072,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10072?gameHash=0a8028688c6751af&amp;tab=overview,EU LCS,2014,1/14/2014 23:48,1,200,Red,team,,Millenium,,Evelynn,Elise,Dr. Mundo,,,3043,1,27,10,54,
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,1,Blue,top,Mimer,SUPA HOT CREW,Dr. Mundo,Yasuo,Lee Sin,Kassadin,,,2546,1,1,2,12,271
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,2,Blue,jng,Impaler,SUPA HOT CREW,Vi,Yasuo,Lee Sin,Kassadin,,,2546,1,2,4,11,145
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,3,Blue,mid,Moopz,SUPA HOT CREW,Gragas,Yasuo,Lee Sin,Kassadin,,,2546,1,6,4,8,352
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,4,Blue,bot,MrRallez,SUPA HOT CREW,Lucian,Yasuo,Lee Sin,Kassadin,,,2546,1,10,0,7,339
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,5,Blue,sup,Migxa,SUPA HOT CREW,Thresh,Yasuo,Lee Sin,Kassadin,,,2546,1,1,4,12,14
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,6,Red,top,Wickd,Alliance,Malphite,Shyvana,Leona,Elise,,,2546,0,2,5,4,319
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,7,Red,jng,Shook,Alliance,Kha'Zix,Shyvana,Leona,Elise,,,2546,0,5,6,4,180
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,8,Red,mid,Froggen,Alliance,LeBlanc,Shyvana,Leona,Elise,,,2546,0,4,3,6,296
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,9,Red,bot,Tabzz,Alliance,Ezreal,Shyvana,Leona,Elise,,,2546,0,2,1,6,353
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,10,Red,sup,Nyph,Alliance,Annie,Shyvana,Leona,Elise,,,2546,0,1,5,7,30
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,100,Blue,team,,SUPA HOT CREW,,Yasuo,Lee Sin,Kassadin,,,2546,1,20,14,50,
TRLH3/10087,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10087?gameHash=bd96423fe7fda386&amp;tab=overview,EU LCS,2014,1/15/2014 17:53,1,200,Red,team,,Alliance,,Shyvana,Leona,Elise,,,2546,0,14,20,27,
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,1,Blue,top,sOAZ,Fnatic,Shen,Riven,Evelynn,Dr. Mundo,,,1785,1,0,1,14,226
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,2,Blue,jng,Cyanide,Fnatic,Elise,Riven,Evelynn,Dr. Mundo,,,1785,1,6,0,7,94
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,3,Blue,mid,xPeke,Fnatic,Gragas,Riven,Evelynn,Dr. Mundo,,,1785,1,6,1,7,302
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,4,Blue,bot,Rekkles,Fnatic,Jinx,Riven,Evelynn,Dr. Mundo,,,1785,1,11,0,6,282
